prestamo_id,usuario_id,coche_id,fecha_ini,fecha_fin
1,45,34,2020-01-31,
2,21,15,2020-03-01,
3,29,12,2020-01-15,2020-05-27
4,21,15,2020-02-10,2020-09-05
5,27,16,2020-02-09,
6,36,38,2020-02-07,
7,22,15,2020-03-01,
8,5,14,2020-02-02,2020-06-17
9,22,50,2020-01-23,2020-06-26
10,5,27,2020-02-14,2020-09-05
11,23,28,2020-01-28,
12,19,7,2020-01-05,2020-03-10
13,50,5,2020-02-01,
14,26,15,2020-02-24,
15,15,42,2020-01-03,2020-05-31
16,19,44,2020-01-22,
17,46,39,2020-01-05,2020-09-05
18,3,44,2020-01-22,2020-03-06
19,18,45,2020-02-08,2020-05-08
20,31,42,2020-01-06,
21,42,30,2020-02-04,
22,14,40,2020-01-03,2020-07-18
23,20,30,2020-02-07,
24,22,43,2020-03-02,
25,27,24,2020-01-28,2020-08-28
26,47,29,2020-02-23,2020-07-12
27,44,46,2020-02-14,2020-05-06
28,21,2,2020-02-02,2020-06-25
29,26,34,2020-02-14,2020-07-16
30,12,39,2020-02-25,
31,6,20,2020-02-22,
32,47,47,2020-02-10,
33,9,3,2020-02-12,2020-08-09
34,8,49,2020-01-01,
35,46,37,2020-03-03,2020-05-24
36,27,30,2020-01-26,2020-03-05
37,3,46,2020-01-21,2020-04-04
38,42,46,2020-02-09,
39,17,14,2020-01-05,2020-09-18
40,7,44,2020-01-11,2020-06-21
41,33,2,2020-01-22,
42,12,20,2020-03-01,2020-05-07
43,32,20,2020-01-27,2020-08-01
44,26,27,2020-02-18,
45,41,47,2020-02-04,
46,13,7,2020-01-10,2020-05-08
47,46,11,2020-01-12,
48,45,36,2020-01-14,
49,24,4,2020-02-27,2020-05-12
50,49,25,2020-01-19,
51,8,19,2020-01-22,2020-06-30
52,45,9,2020-01-26,2020-09-01
53,43,31,2020-01-25,
54,27,18,2020-03-03,
55,16,44,2020-02-10,2020-04-11
56,44,17,2020-01-30,
57,1,29,2020-02-13,2020-04-07
58,37,42,2020-02-12,
59,25,42,2020-01-23,
60,37,16,2020-01-22,
61,47,14,2020-01-04,
62,25,8,2020-02-22,2020-06-08
63,13,1,2020-02-20,2020-09-06
64,1,25,2020-02-19,
65,38,47,2020-02-05,2020-09-07
66,25,32,2020-02-12,
67,21,17,2020-01-23,
68,35,13,2020-01-19,
69,13,37,2020-02-09,
70,14,17,2020-01-14,
71,2,50,2020-02-02,2020-03-15
72,2,13,2020-02-12,2020-07-19
73,10,45,2020-02-27,
74,20,45,2020-01-16,2020-05-16
75,42,31,2020-01-20,2020-06-14
76,13,1,2020-01-14,
77,15,17,2020-02-07,2020-03-02
78,31,24,2020-02-09,2020-06-28
79,6,29,2020-02-16,
80,12,31,2020-01-19,2020-05-08
81,46,13,2020-01-04,2020-03-02
82,43,41,2020-02-20,
83,36,2,2020-02-15,2020-07-27
84,34,30,2020-01-16,
85,43,28,2020-03-02,
86,35,7,2020-01-15,2020-09-20
87,21,6,2020-02-06,2020-05-06
88,7,42,2020-02-23,2020-07-11
89,37,46,2020-02-25,
90,17,49,2020-02-25,
91,15,5,2020-02-17,2020-07-28
92,31,42,2020-01-03,2020-07-21
93,4,40,2020-02-17,2020-06-06
94,46,11,2020-01-23,2020-05-20
95,38,18,2020-01-04,2020-05-18
96,35,22,2020-02-26,2020-06-30
97,35,45,2020-01-22,2020-03-30
98,5,36,2020-01-24,
99,41,35,2020-01-30,
100,28,14,2020-02-18,2020-06-24
101,49,39,2020-01-24,
102,17,9,2020-02-19,
103,24,26,2020-02-01,
104,20,43,2020-01-06,2020-09-06
105,15,12,2020-01-10,2020-03-29
106,19,28,2020-01-11,
107,20,43,2020-01-20,
108,22,12,2020-02-14,2020-08-31
109,42,46,2020-03-03,
110,28,6,2020-01-29,2020-07-11
111,25,6,2020-02-20,
112,19,38,2020-02-26,2020-03-17
113,46,24,2020-01-15,
114,20,49,2020-02-21,
115,29,36,2020-01-21,2020-09-23
116,34,7,2020-02-10,
117,16,38,2020-02-28,
118,19,28,2020-01-13,
119,18,14,2020-01-19,
120,48,18,2020-01-28,
121,42,5,2020-02-05,
122,6,16,2020-01-09,2020-08-28
123,48,24,2020-02-20,2020-05-31
124,22,26,2020-02-01,2020-07-05
125,28,44,2020-01-09,2020-03-22
126,2,37,2020-01-01,
127,33,35,2020-02-20,2020-07-11
128,10,8,2020-01-28,
129,19,41,2020-01-02,
130,1,33,2020-01-31,2020-07-30
131,30,29,2020-02-29,
132,35,15,2020-02-19,
133,13,44,2020-02-13,
134,4,25,2020-02-17,
135,38,21,2020-01-30,2020-03-29
136,10,27,2020-01-31,2020-08-08
137,33,11,2020-01-13,2020-05-07
138,39,7,2020-01-16,
139,2,15,2020-01-12,
140,31,8,2020-02-14,2020-09-03
141,29,37,2020-02-28,
142,5,23,2020-02-25,2020-04-05
143,46,30,2020-02-13,
144,34,31,2020-01-20,
145,35,2,2020-03-01,
146,10,33,2020-01-24,
147,25,27,2020-02-22,
148,34,24,2020-02-08,
149,12,33,2020-01-17,2020-04-16
150,18,39,2020-02-13,
151,32,46,2020-02-02,2020-07-30
152,40,22,2020-02-28,
153,4,21,2020-03-02,2020-03-17
154,9,5,2020-01-20,
155,2,43,2020-01-18,
156,38,43,2020-01-12,
157,37,34,2020-01-23,
158,21,17,2020-01-23,2020-04-10
159,20,33,2020-02-13,2020-09-12
160,28,30,2020-01-19,2020-05-31
161,29,14,2020-01-09,2020-04-10
162,18,42,2020-01-26,2020-04-12
163,19,39,2020-01-08,2020-09-28
164,44,11,2020-03-01,2020-07-16
165,46,25,2020-01-11,2020-09-22
166,2,22,2020-01-16,
167,43,47,2020-01-30,
168,33,34,2020-01-04,2020-04-02
169,8,6,2020-02-01,
170,46,11,2020-01-05,
171,23,25,2020-01-18,
172,21,38,2020-01-21,2020-08-26
173,19,20,2020-01-27,2020-09-30
174,13,14,2020-01-08,2020-10-02
175,1,10,2020-01-15,2020-04-29
176,22,50,2020-01-31,2020-08-02
177,39,27,2020-01-16,2020-07-15
178,30,35,2020-01-27,
179,34,28,2020-01-16,2020-04-07
180,48,47,2020-02-17,
181,43,50,2020-01-24,
182,21,12,2020-01-10,
183,11,22,2020-02-26,2020-07-30
184,14,14,2020-02-28,
185,5,22,2020-02-05,
186,17,17,2020-02-04,
187,19,39,2020-02-28,
188,38,28,2020-01-24,2020-07-10
189,1,40,2020-01-17,2020-07-06
190,16,43,2020-02-01,
191,6,2,2020-02-05,2020-06-27
192,35,8,2020-03-03,2020-05-01
193,43,34,2020-01-22,2020-06-26
194,20,15,2020-02-25,2020-07-25
195,48,47,2020-02-14,
196,2,26,2020-01-16,
197,8,48,2020-01-11,
198,31,9,2020-01-19,
199,50,30,2020-01-03,2020-04-04
200,49,9,2020-01-10,2020-08-11
